timestamp,vehicle_speed,target_speed,throttle,brake,steering,nearest_obstacle_m,ttc,safety_state,detections,fps
09:23:12,4.00,30.00,1.000,0.000,0.171,26.07391357421875,,SAFE,3,0.1
09:23:12,0.37,24.63,1.000,0.000,0.124,18.210968017578125,,CAUTION,4,0.1
09:23:12,7.04,24.31,0.219,0.000,0.106,18.103302001953125,10.582235210456734,CAUTION,3,0.1
09:23:13,10.05,30.00,1.000,0.000,0.075,,,CLEAR,2,0.1
09:23:13,13.36,19.51,1.000,0.000,0.049,16.573822021484375,5.00656783082551,CAUTION,3,18.6
09:23:13,13.80,30.00,1.000,0.000,0.029,,,CLEAR,5,18.6
09:23:13,13.33,14.01,0.000,1.000,0.015,14.6710205078125,4.575494388450405,CAUTION,3,18.6
09:23:14,13.11,7.84,0.000,1.000,0.004,13.698028564453125,2.6138160167413793,BRAKE,3,18.6
09:23:14,13.64,8.52,0.000,1.000,-0.005,12.8385009765625,4.827938599495711,CAUTION,3,19.9
09:23:14,13.48,9.71,0.047,0.000,-0.012,11.885116577148438,3.235710966343368,BRAKE,2,19.9
09:23:14,11.21,4.86,0.000,0.137,-0.015,11.621292114257812,,CAUTION,4,19.9
09:23:15,10.00,30.00,1.000,0.000,-0.017,,,CLEAR,1,19.9
09:23:15,10.46,9.71,0.316,0.000,-0.019,13.2357177734375,,CAUTION,3,18.8
09:23:15,11.89,12.01,0.000,1.000,-0.020,14.0040283203125,,CAUTION,3,18.8
09:23:15,13.84,30.00,1.000,0.000,-0.020,,,CLEAR,3,18.8
09:23:16,15.95,30.00,1.000,0.000,-0.019,,,CLEAR,3,18.9
09:23:16,17.94,6.83,0.000,1.000,-0.017,12.077545166015625,2.275891436650601,BRAKE,3,18.9
09:23:16,15.96,8.44,0.000,0.432,-0.015,10.903076171875,2.8140315978543953,BRAKE,4,18.9
09:23:17,13.56,5.00,0.000,1.000,-0.014,9.875961303710938,2.928805876361449,BRAKE,3,18.9
09:23:17,10.90,5.00,0.000,0.316,-0.012,9.057144165039062,2.697753891463049,BRAKE,2,18.2
09:23:17,8.93,5.00,0.000,0.238,-0.011,8.361709594726562,3.4544842641801847,BRAKE,1,18.2
09:23:17,7.40,5.00,0.000,0.038,-0.010,7.8039398193359375,3.686802041766889,BRAKE,2,18.2
09:23:18,6.34,5.00,0.000,0.024,-0.009,7.34197998046875,4.6995875863095815,BRAKE,2,18.2
09:23:18,5.54,5.00,0.069,0.000,-0.009,6.929718017578125,4.361897561967021,BRAKE,2,18.3
09:23:18,5.05,5.00,0.066,0.000,-0.008,6.582611083984375,6.221003385016045,BRAKE,2,18.3
09:23:18,4.75,5.00,0.101,0.000,-0.007,6.2230224609375,4.718371401141614,BRAKE,2,18.3
09:23:19,4.59,5.00,0.089,0.000,-0.007,5.9030914306640625,4.705030887507279,BRAKE,2,18.3
09:23:19,4.51,5.00,0.088,0.000,-0.006,5.580352783203125,4.188444370958031,BRAKE,2,20.4
09:23:19,4.46,5.00,0.106,0.000,-0.006,5.286956787109375,4.576431438759582,BRAKE,1,20.4
09:23:19,4.43,0.00,0.000,1.000,-0.005,4.9654541015625,3.5018440053731505,EMERGENCY,2,20.4
09:23:20,0.00,0.00,0.000,1.000,-0.006,4.92730712890625,45.620897352695465,EMERGENCY,2,20.4
09:23:20,0.00,0.00,0.000,1.000,-0.006,4.937469482421875,,EMERGENCY,2,20.3
09:23:20,0.00,0.00,0.000,1.000,-0.006,4.93438720703125,,EMERGENCY,2,20.3
09:23:20,0.00,0.00,0.000,1.000,-0.006,4.9488525390625,,EMERGENCY,2,20.3
09:23:21,0.00,0.00,0.000,1.000,-0.006,4.929840087890625,17.704879959687492,EMERGENCY,2,20.3
09:23:21,0.00,0.00,0.000,1.000,-0.007,4.9283294677734375,28.582935821158546,EMERGENCY,2,20.3
09:23:21,0.00,0.00,0.000,1.000,-0.007,4.920989990234375,10.231446919233903,EMERGENCY,2,20.3
09:23:21,0.00,0.00,0.000,1.000,-0.007,4.9141845703125,18.402462148767192,EMERGENCY,2,20.3
09:23:22,0.00,0.00,0.000,1.000,-0.007,4.9315643310546875,15.905477946739719,EMERGENCY,2,20.3
09:23:22,0.00,0.00,0.000,1.000,-0.007,4.9283294677734375,878.9772875434475,EMERGENCY,2,20.3
09:23:22,0.00,0.00,0.000,1.000,-0.007,4.9244384765625,20.025585955761848,EMERGENCY,2,19.7
09:23:22,0.00,0.00,0.000,1.000,-0.007,4.928619384765625,,EMERGENCY,2,19.7
09:23:23,0.00,0.00,0.000,1.000,-0.008,4.9315643310546875,,EMERGENCY,2,19.7
09:23:23,0.00,0.00,0.000,1.000,-0.008,4.9228363037109375,39.35143561476453,EMERGENCY,2,19.7
09:23:23,0.00,0.00,0.000,1.000,-0.008,4.928619384765625,,EMERGENCY,2,20.5
09:23:23,0.00,0.00,0.000,1.000,-0.008,4.93450927734375,,EMERGENCY,2,20.5
09:23:24,0.00,0.00,0.000,1.000,-0.008,4.93780517578125,,EMERGENCY,2,20.5
09:23:24,0.00,0.00,0.000,1.000,-0.008,4.93450927734375,,EMERGENCY,2,20.5
09:23:24,0.00,0.00,0.000,1.000,-0.008,4.9385833740234375,,EMERGENCY,2,20.3
09:23:24,0.00,0.00,0.000,1.000,-0.009,4.9414520263671875,,EMERGENCY,2,20.3
09:23:25,0.00,5.00,0.782,0.000,-0.009,5.129669189453125,,BRAKE,2,20.3
09:23:25,1.86,5.00,0.269,0.000,-0.008,5.476959228515625,,BRAKE,2,20.3
09:23:25,2.93,5.00,0.035,0.000,-0.007,5.9934844970703125,,BRAKE,2,19.9
09:23:25,3.36,5.00,0.357,0.000,-0.007,6.745819091796875,,BRAKE,3,19.9
09:23:26,1.71,5.00,0.240,0.000,-0.006,7.80657958984375,,BRAKE,3,19.9
09:23:26,2.92,5.00,0.025,0.000,-0.006,8.9588623046875,,BRAKE,3,19.9
09:23:26,0.70,0.31,0.000,1.000,-0.008,10.103546142578125,,CAUTION,3,19.3
09:23:26,1.40,3.83,0.465,0.000,-0.008,11.27685546875,,CAUTION,3,19.3
09:23:27,4.26,6.77,0.486,0.000,-0.007,12.255035400390625,,CAUTION,3,19.3
09:23:27,6.73,8.98,0.664,0.000,-0.006,12.99371337890625,,CAUTION,3,19.3
